job_id,title,company,location,work_type,job_type,required_skills,preferred_skills,languages,apply_url,source,posted_date
an-senior-data-engineer-snowflake,Senior Data Engineer (m/w/d) – Snowflake,JobRad Loop,München,On-site,working_student,"Python, SQL, AWS","Git, CI/CD",English: C1,https://www.arbeitnow.com/jobs/companies/jobrad-loop/senior-data-engineer-snowflake-munchen-375493,Arbeitnow Feed,2026-09-04 23:09:58
an-studentische-hilfskraft-team-q,"Studentische Hilfskraft, Team Questionnaire Design & Evaluation / Team Assessing Survey Data Quality (SHK_SDM_2026_020)",GESIS – Leibniz-Institut für Sozialwissenschaften,Mannheim,On-site,working_student,"Python, SQL","Git, CI/CD",English: C1,https://www.arbeitnow.com/jobs/companies/gesis-leibniz-institut-fur-sozialwissenschaften/studentische-hilfskraft-team-questionnaire-design-evaluation-team-assessing-survey-data-quality-shk-sdm-2026-020-mannheim-39180,Arbeitnow Feed,2026-09-04 23:09:56
an-studentische-hilfskraft-team-g,"Studentische Hilfskraft, Team German Microdata Lab (SHK_DRS_2026_015)",GESIS – Leibniz-Institut für Sozialwissenschaften,Mannheim,On-site,working_student,"Python, SQL","Git, CI/CD","German: B2, English: B2",https://www.arbeitnow.com/jobs/companies/gesis-leibniz-institut-fur-sozialwissenschaften/studentische-hilfskraft-team-german-microdata-lab-shk-drs-2026-015-mannheim-192930,Arbeitnow Feed,2026-09-04 23:09:56
an-research-data-manager-postdoc-,Research Data Manager (PostDoc) for mapping harvesting relationships (KTS-84),GESIS – Leibniz-Institut für Sozialwissenschaften,Köln,On-site,internship,"Python, SQL","Git, CI/CD",English: C1,https://www.arbeitnow.com/jobs/companies/gesis-leibniz-institut-fur-sozialwissenschaften/research-data-manager-postdoc-for-mapping-harvesting-relationships-kts-84-koln-449469,Arbeitnow Feed,2026-09-04 23:09:56
an-financial-assistant-werkstuden,Financial Assistant (Werkstudent:in oder Praktikant:in),Workist Gmbh,Berlin,On-site,working_student,"Python, SQL","Git, CI/CD",English: C1,https://www.arbeitnow.com/jobs/companies/workist-gmbh/financial-assistant-werkstudentin-oder-praktikantin-berlin-196599,Arbeitnow Feed,2026-09-04 23:09:53
an-working-student-ai-support-ope,Working Student AI Support & Operations,Statworx,Frankfurt am Main,On-site,working_student,"Python, SQL","Git, CI/CD",English: C1,https://www.arbeitnow.com/jobs/companies/statworx/working-student-ai-support-operations-frankfurt-am-main-82904,Arbeitnow Feed,2026-09-04 23:09:37
an-working-student-intern-sales-b,Working Student/Intern Sales & Business Development (f/m/d),Oniq,Cologne,On-site,working_student,"Sales, Business Development, Market Analysis, Go-To-Market","Git, CI/CD",English: C1,https://www.arbeitnow.com/jobs/companies/oniq/working-student-intern-sales-business-development-cologne-411657,Arbeitnow Feed,2026-09-04 23:09:24
an-working-student-graphic-design,Working Student – Graphic Design E-Commerce (all genders),Niboline Gmbh,Berlin,On-site,working_student,"graphic design, design, product modelling, 3d rendering","Git, CI/CD",English: C1,https://www.arbeitnow.com/jobs/companies/niboline-gmbh/working-student-graphic-design-e-commerce-all-genders-berlin-237983,Arbeitnow Feed,2026-09-04 23:09:11
an-werkstudent-strategie-business,Werkstudent Strategie & Business Development (m/w/d),CKM Group,Berlin,On-site,working_student,"join, business development, venture, development","Git, CI/CD",English: C1,https://www.arbeitnow.com/jobs/companies/ckm-group/werkstudent-strategie-business-development-berlin-482703,Arbeitnow Feed,2026-09-04 23:09:08
an-working-student-impact-startup,Working Student – Impact & Startup Accelerator Program Support,Netlight,Munich,On-site,working_student,Working Students,"Git, CI/CD",English: C1,https://www.arbeitnow.com/jobs/companies/netlight/working-student-impact-startup-accelerator-program-support-munich-117755,Arbeitnow Feed,2026-09-04 23:04:58
