job_id,title,company,location,work_type,job_type,required_skills,preferred_skills,languages,apply_url,source,posted_date
celonis-ws-01,Working Student - Backend Software Engineering (Python/FastAPI),Celonis,"Munich, Germany",Hybrid,working_student,"Python, FastAPI, SQL, PostgreSQL, Git","Docker, PyTorch, CI/CD, AWS","English: C1, German: B1",https://www.celonis.com/careers/,Curated Direct,2026-09-04 18:30:00
personio-ws-02,Working Student - AI & Data Engineering,Personio,"Munich, Germany",Hybrid,working_student,"Python, SQL, Docker, PyTorch, Scikit-Learn","AWS, FastAPI, PostgreSQL, Git","English: C1, German: B2",https://www.personio.com/careers/,Curated Direct,2026-09-04 16:15:00
deliveryhero-ws-03,Working Student - Cloud Infrastructure & Platform,Delivery Hero,"Berlin, Germany",Remote,working_student,"Docker, Kubernetes, AWS, Python, CI/CD","Terraform, Git, Linux","English: C1",https://careers.deliveryhero.com/,Curated Direct,2026-09-04 14:00:00
bmw-intern-04,Intern / Working Student - Autonomous Driving & Computer Vision,BMW Group,"Munich, Germany",Hybrid,internship,"Python, PyTorch, C++, Computer Vision, Docker","Git, Linux, ROS, Deep Learning","German: B2, English: B2",https://www.bmwgroup.jobs/de/en.html,Curated Direct,2026-09-04 11:45:00
siemens-ws-05,Working Student - Industrial IoT & Edge Cloud Software,Siemens AG,"Munich, Germany",Hybrid,working_student,"Python, Docker, REST API, SQL, Linux","FastAPI, PostgreSQL, Git","German: B2, English: B2",https://jobs.siemens.com/careers,Curated Direct,2026-09-04 09:30:00
flix-ws-06,Working Student - Data Engineering & Analytics,Flix,"Munich, Germany",Hybrid,working_student,"SQL, Python, PostgreSQL, Git","dbt, Airflow, AWS, Tableau","English: C1, German: B1",https://flix.careers/,Curated Direct,2026-09-03 17:00:00
deepl-ws-07,Working Student - Deep Learning & NLP Engineering,DeepL,"Cologne, Germany",Remote,working_student,"Python, PyTorch, NLP, LLM, Docker","FastAPI, Git, HuggingFace","English: C1, German: B2",https://www.deepl.com/en/jobs,Curated Direct,2026-09-03 15:20:00
sap-ws-08,Working Student - Cloud Full-Stack Development,SAP,"Walldorf, Germany",Hybrid,working_student,"JavaScript, TypeScript, Node.js, SQL, Git","React, Docker, Python, REST API","German: B2, English: B2",https://jobs.sap.com/,Curated Direct,2026-09-03 13:10:00
bosch-ws-09,Working Student - Robotics & Autonomous Mobile Systems,Bosch,"Nuremberg, Germany",Hybrid,working_student,"ROS 2, Python, Linux, Gazebo, SLAM","C++, Docker, Git","German: B2, English: B2",https://www.bosch.de/karriere/,Curated Direct,2026-09-04 19:00:00
knorr-ws-10,Working Student - Cloud Infrastructure & AI Backend,Knorr-Bremse,"Munich, Germany",Hybrid,working_student,"AWS, Python, PostgreSQL, Docker, REST API","FastAPI, CI/CD, Linux","English: C1, German: B1",https://www.knorr-bremse.com/de/karriere/,Curated Direct,2026-09-04 17:40:00
appliedai-ws-11,Working Student - Generative AI & NLP Applications,appliedAI Initiative,"Munich, Germany",Remote,working_student,"Python, LLM, NLP, FastAPI, Docker","Prompt Engineering, React, Git","English: C1, German: B2",https://www.appliedai.de/careers,Curated Direct,2026-09-04 15:00:00
